id	domain	concept	source_type	source_url	evidence	testable_application	local_validation
W21	product	Microduck actuator count	official repository design	https://github.com/pollen-robotics/microduck/blob/main/docs/design/robotd-design.md	The control loop reads 15 servos plus the imu_to_dxl device, decides 15 joint targets, and writes them at 50 Hz.	Explain the simulator's 14-element body pose array as excluding the separate beak actuator; retain the official 15-motor product claim.	verified-source
W22	mobile	scroll event cadence	reference	https://developer.mozilla.org/en-US/docs/Web/API/Document/scroll_event	Document scroll events and requestAnimationFrame callbacks fire at approximately the same rate, so rAF is not a meaningful scroll-event throttling mechanism by itself.	Use the existing frame authority for coalesced state sampling; measure target-versus-actual progress phase lag before adding another rAF boundary.	untested
W23	mobile	SwiftShader execution model	browser implementation documentation	https://chromium.googlesource.com/chromium/src/+/1330866/docs/gpu/swiftshader.md	SwiftShader implements Vulkan/OpenGL ES on the CPU; Chromium can exercise GPU code paths while actually running software rendering.	Treat SwiftShader traces as deterministic software-raster diagnostics, not evidence of hardware-GPU or physical-device throughput.	verified-environment
W24	mobile	shader precompilation	engine documentation	https://threejs.org/docs/pages/Renderer.html	compileAsync compiles scene materials to avoid first-use shader compilation stutter, but its contract is compilation rather than presentation of a full visible frame.	Gate ready on a representative presented frame in addition to compileAsync; test reveal and resize separately.	tested-fail-current-gate
W25	mobile	density-corrected image dimensions	standard	https://html.spec.whatwg.org/multipage/images.html	An image's natural width and height are density-corrected presentation dimensions; the standard explicitly divides intrinsic dimensions by current pixel density.	Use source-file physical dimensions for decoded-memory budgeting, not density-corrected naturalWidth/naturalHeight.	verified-measurement-correction
W26	mobile	rigid-part instancing	engine documentation	https://threejs.org/docs/pages/InstancedMesh.html	InstancedMesh renders many objects that share geometry and material with different world transforms, reducing draw calls; changed instance matrices must be marked for update.	Instance only repeated rigid parts with identical geometry and material, drive matrices from the existing rig, then measure calls, matrix-update CPU, cadence, and story-beat image parity.	untested
W27	cross-domain	UV material baking	engine documentation	https://docs.blender.org/manual/en/5.0/render/cycles/baking.html	Cycles baking requires a mesh UV map and an active image target; Diffuse with only Color selected captures surface color without direct or indirect lighting, tangent normals are suitable for animated objects, and island margins prevent mip/filter seams.	Bake material color rather than studio lighting into mesh-space UVs, keep tangent normals optional, and inspect articulated parts plus mip seams.	untested
W28	cross-domain	glTF material export	engine documentation	https://docs.blender.org/manual/en/4.0/addons/import_export/scene_gltf2.html	Blender's glTF exporter recognizes image textures connected to Principled Base Color and the glTF metallic-roughness packing convention, with roughness in green and metallic in blue as non-color data.	Replace unsupported procedural branches with baked base-color and packed metallic-roughness images before export; validate the exported material graph rather than assuming automatic bake.	untested
W29	cross-domain	glTF PBR texture semantics	standard	https://registry.khronos.org/glTF/specs/2.0/glTF-2.0.html	glTF base-color textures are sRGB, metallic-roughness uses linear green/blue channels, and texture bindings reference mesh texture coordinates; factors multiply sampled texture values.	Lock mesh UVs and color-space annotations, then share scalar factors or masks only where the glTF material model can express them.	untested
W30	mobile	Three texture color management	engine documentation	https://threejs.org/docs/pages/Texture.html	Three textures containing color data require an sRGB or linear-sRGB annotation, while texture sampling/filtering, anisotropy, and disposal remain explicit runtime concerns.	Mark baked base color as sRGB, keep roughness/metal/normal data in no-color space, and compare the calibrated handoff under the same renderer output transform.	untested
W31	cross-domain	UV texel density	engine documentation	https://docs.blender.org/manual/en/4.5/modeling/meshes/uv/editing.html	Blender Average Island Scale makes UV islands approximately equal in scale; Minimize Stretch reduces angular distortion.	Normalize texel density before packing the robot atlas, then allocate extra area only to the lens/head graphics justified by screen-space review.	untested
B01	blender	PBR material model	engine documentation	https://docs.blender.org/manual/en/latest/render/shader_nodes/shader/principled.html	Roughness controls microfacet reflection width; metallic 1 removes diffuse and uses tinted specular reflection.	Lock lights and A/B hardware metallic 1 with bounded roughness variation against the prior mixed-metal value.	tested-pass-preview
B02	blender	light linking	engine documentation	https://docs.blender.org/manual/en/latest/render/lights/light_linking.html	Light linking restricts receivers and is most efficient with the light tree; it may increase sampling complexity.	Restrict the eye light to the lens and compare spill, noise, and render time.	running-final
B03	blender	adaptive sampling	engine documentation	https://docs.blender.org/manual/en/4.5/render/cycles/render_settings/sampling.html	Adaptive sampling stops converged pixels by noise threshold; lower thresholds increase quality and time.	A/B fixed 128 samples against a high cap with explicit noise threshold; inspect stone pores, lens, and dark mechanisms.	untested
B04	blender	denoising	engine documentation	https://docs.blender.org/manual/en/5.2/compositing/types/filter/denoise.html	Albedo and normal auxiliary passes help denoising preserve edges, textures, and fine detail.	Save noisy plus auxiliary-pass denoise and inspect pigment lettering, wear, and pores at 1:1.	untested
B05	blender	light decomposition	engine documentation	https://docs.blender.org/manual/en/latest/render/layers/passes.html	Light groups produce per-light combined passes that can be recombined without rerendering.	Use light-group A/B to tune key/fill/rim influence without confounding material edits.	untested
B06	blender	color management	engine documentation	https://docs.blender.org/manual/en/dev/render/color_management/displays_views.html	AgX provides wide dynamic range and desaturates high exposures.	Lock AgX and exposure during material A/B; change exposure only in a dedicated lighting experiment.	observed-in-code
W32	mobile	camera arc-length sampling	engine documentation	https://threejs.org/docs/pages/Curve.html	getPointAt maps normalized distance to curve parameter; getPoint uses the raw curve parameter. Arc-length caches need updating after control points change.	Sample the camera path by normalized arc length, then deliberately ease story phases; audit screen-space velocity because constant world speed does not imply constant projected speed.	untested
W33	mobile	camera path geometry	engine documentation	https://threejs.org/docs/pages/CatmullRomCurve3.html	CatmullRomCurve3 interpolates 3D control points and defaults to the centripetal variant.	Author the hero angle and departure as one path with stable control points; check between checkpoints for overshoot and framing loss.	untested
W34	mobile	camera orientation interpolation	engine documentation	https://threejs.org/docs/pages/Quaternion.html	Three expects normalized quaternions and provides spherical interpolation between endpoint rotations.	Derive camera orientation from the same progress as translation; check quaternion angular deltas and screen-space look-target continuity.	untested
W35	mobile	shared scroll with depth layers	official open-source example	https://github.com/pmndrs/examples/blob/main/examples/scrollcontrols-with-minimap/src/App.tsx	The example places images at different z coordinates and derives zoom and grayscale ranges through useScroll within one ScrollControls tree. It demonstrates shared progress and depth placement, not the requested robot landing or a physical-set camera path.	Reuse one-progress ownership and depth separation; replace example image cards with the real authored set meshes.	untested
W36	cross-domain	motion parallax and dynamic occlusion	primary research	https://pmc.ncbi.nlm.nih.gov/articles/PMC4521857/	Depth-ordering experiments found complementary relative-motion and accretion/deletion contributions, with cue utility varying across simulated depth differences.	Keep near podium, robot, bench and far banner at distinct depths; compare their projected motion and occluding edges while the camera moves. This website application is an inference.	untested
W37	cross-domain	occlusion and observer motion	primary research abstract	https://pubmed.ncbi.nlm.nih.gov/3226867/	Random-dot experiments examined dynamic occlusion and motion parallax with moving observers and with surfaces moving relative to stationary observers.	Compare actual geometric parallax against a translated flat poster as a falsification control; the study does not prescribe this website camera path.	untested
W38	cross-domain	identity through occlusion	primary research	https://pmc.ncbi.nlm.nih.gov/articles/PMC4085165/	In 72 four-month-old infants, changing both shape and color behind an occluder affected trajectory continuity judgments. This developmental result is adjacent evidence, not direct adult website validation.	Preserve the same robot geometry, paint, and continuous trajectory through set departure, then test reverse-scroll identity in local captures.	untested
W39	cross-domain	contact timing and perceived causality	primary registered replication	https://pmc.ncbi.nlm.nih.gov/articles/PMC12434928/	Launching judgments were sensitive to contact delay, but several classical delay predictions did not replicate. The study does not establish a universal threshold for UI animation.	Implement the user-selected contact-to-explode order without a separate dwell interval; test that explode is zero before touchdown and grows immediately after the shared phase boundary.	untested
W40	mobile	contact-shadow lifetime	engine documentation	https://drei.docs.pmnd.rs/staging/contact-shadows	The documented one-frame contact-shadow optimization applies when objects are static; the effect is otherwise described as expensive.	Keep contact cues consistent with the moving feet through takeoff and landing. A frozen frames=1 shadow requires a static caster or a separately validated analytic shadow.	untested
W41	mobile	reduced interaction motion	accessibility guidance	https://www.w3.org/WAI/WCAG22/Understanding/animation-from-interactions.html	Nonessential interaction-driven animation, including parallax, can trigger vestibular symptoms; the guidance describes disabling motion and respecting a reduced-motion preference.	Provide a static readable reduced-motion presentation with the same product information, rather than forcing the jump and traveling camera.	untested
W42	cross-domain	portable scene nodes and PBR maps	primary specification source	https://github.com/KhronosGroup/glTF/blob/main/specification/2.0/Specification.adoc	glTF stores scene nodes and mesh primitives; texture bindings select mesh coordinates. Base-color data uses sRGB, while packed roughness green and metallic blue use linear transfer.	Export real authored set geometry with UV-bound materials; inspect node bounds, texture channels, draw calls and texture dimensions instead of substituting a whole-scene image card.	untested
W43	cross-domain	Blender lighting transfer limits	engine documentation	https://docs.blender.org/manual/en/4.0/addons/import_export/scene_gltf2.html	The exporter documents meshes, materials, textures, cameras and punctual point, spot and directional lights. This supported list does not promise transfer of Blender World or area-light rigs.	Bake procedural surface channels to UV images, recreate runtime light/environment intent explicitly, and compare the white/cobalt/dark hero against Blender before judging the departure.	untested
W44	mobile	lossless geometry transport and float entropy	specification	https://github.com/KhronosGroup/glTF/blob/main/extensions/2.0/Vendor/EXT_meshopt_compression/README.md	EXT_meshopt_compression independently compresses buffer views; NONE filtering can retain exact vertex/index bytes. Further gzip effectiveness depends on the resulting entropy and must be measured.	Compare plain GLB gzip with meshopt plus gzip, reject quantization, and byte-compare every decoded view before adopting.	tested-fail: 75 views / 9209280 bytes decode identically, but meshopt+gzip is 7991460 bytes versus plain gzip 7492826. Keep plain gzip.
